Goalkeeping_Squad,Goalkeeping_No_Pl,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Min,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Team_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
Leicester City,2,38,3420,68,1.79,178,113,64.0,9,7,22,7,18.4,5,4,1,0,20.0,a2d435b3,4,8,5,55.4,0.29,-7.6,-0.2,132,497,26.6,1011,203,34.2,32.2,304,49.7,39.3,558,36,6.5,48,1.26,14.3,EPL
Liverpool,2,38,3420,47,1.24,157,111,71.3,19,10,9,14,36.8,4,2,1,1,33.3,822bd0ba,0,0,2,54.1,0.33,9.1,0.24,118,285,41.4,1278,217,18.2,26.8,195,26.7,31.2,400,23,5.8,89,2.34,19.8,EPL
Manchester City,2,38,3420,33,0.87,92,60,67.4,28,5,5,13,34.2,3,3,0,0,0.0,b8fd03ef,1,4,1,30.3,0.3,-1.7,-0.05,128,287,44.6,1259,163,19.0,27.5,164,29.3,31.4,312,20,6.4,40,1.05,16.3,EPL
Manchester Utd,1,38,3420,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3,19538871,2,6,1,41.3,0.27,-0.7,-0.02,141,449,31.4,1032,128,32.6,32.3,179,63.1,47.1,526,15,2.9,32,0.84,14.8,EPL
Newcastle Utd,2,38,3418,33,0.87,127,94,75.6,19,14,5,14,36.8,5,2,2,1,50.0,b2b47a98,0,8,2,33.2,0.24,2.2,0.06,126,378,33.3,722,246,31.9,32.3,222,66.7,49.6,441,35,7.9,74,1.95,18.0,EPL
Nott'ham Forest,3,38,3420,68,1.79,182,112,65.9,9,11,18,8,21.1,9,6,2,1,25.0,e4a775cb,2,9,0,60.1,0.3,-7.9,-0.21,237,712,33.3,963,185,51.3,40.0,332,65.7,47.3,621,35,5.6,38,1.0,12.7,EPL
Southampton,2,38,3420,73,1.92,150,81,52.7,6,7,25,4,10.5,3,2,1,0,33.3,33c895d4,1,8,5,46.3,0.29,-21.7,-0.57,234,742,31.5,1129,173,49.9,37.9,289,61.9,46.6,548,42,7.7,55,1.45,14.8,EPL
Tottenham,2,38,3420,63,1.66,172,109,65.1,18,6,14,10,26.3,4,3,1,0,25.0,361ca564,1,7,1,55.1,0.3,-6.9,-0.18,113,342,33.0,808,180,30.8,31.0,279,33.3,29.7,515,25,4.9,45,1.18,14.3,EPL
West Ham,2,38,3420,55,1.45,170,115,70.0,11,7,20,9,23.7,6,4,1,1,20.0,7c21e445,0,4,1,53.2,0.29,-0.8,-0.02,212,553,38.3,738,167,53.0,38.9,279,58.1,43.5,560,31,5.5,26,0.68,12.9,EPL
Wolves,2,38,3420,58,1.53,174,115,67.8,11,8,19,11,28.9,4,2,2,0,50.0,8cec06e1,0,6,1,52.2,0.28,-4.8,-0.13,130,464,28.0,992,196,29.8,31.1,283,59.4,45.1,577,48,8.3,29,0.76,12.3,EPL
Almería,3,38,3420,65,1.71,203,138,70.0,11,8,19,4,10.5,6,4,1,1,20.0,78ecf4bb,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,996,220,39.2,37.0,350,52.0,42.9,642,40,6.2,28,0.74,12.4,La Liga
Athletic Club,2,38,3420,43,1.13,123,83,67.5,14,9,15,11,28.9,3,3,0,0,0.0,2b390eca,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,941,187,30.4,32.7,248,66.9,50.9,451,29,6.4,50,1.32,16.9,La Liga
Atlético Madrid,3,38,3420,33,0.87,128,95,77.3,23,8,7,13,34.2,5,4,0,1,0.0,db3b9613,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,818,165,39.7,35.6,328,61.0,46.5,575,48,8.3,26,0.68,12.1,La Liga
Barcelona,2,38,3420,20,0.53,102,85,83.3,28,4,6,26,68.4,3,3,0,0,0.0,206d90db,0,2,3,25.1,0.22,8.1,0.21,169,338,50.0,1238,190,21.9,28.8,201,33.3,34.9,375,18,4.8,43,1.13,16.4,La Liga
Betis,2,38,3420,41,1.08,146,106,74.0,17,9,12,13,34.2,3,3,0,0,0.0,fc536746,1,7,1,44.0,0.29,4.0,0.1,229,635,36.1,956,149,44.0,36.8,315,67.9,49.1,582,22,3.8,43,1.13,15.4,La Liga
Cádiz,2,38,3420,53,1.39,202,148,78.2,10,12,16,13,34.2,10,9,1,0,10.0,ee7c297c,1,7,0,53.4,0.22,0.4,0.01,270,829,32.6,917,150,59.1,45.1,321,89.4,64.2,651,44,6.8,30,0.79,11.1,La Liga
Celta Vigo,2,38,3420,53,1.39,134,80,64.2,11,10,17,10,26.3,8,5,2,1,28.6,f25da7fb,1,10,1,42.9,0.27,-9.1,-0.24,184,506,36.4,935,171,37.4,34.6,288,54.2,44.0,509,22,4.3,39,1.03,16.2,La Liga
Elche,2,38,3420,67,1.76,208,140,71.2,5,10,23,4,10.5,10,7,3,0,30.0,6c8b07df,0,6,2,71.9,0.31,6.9,0.18,195,442,44.1,825,175,33.7,34.2,312,52.6,41.3,600,22,3.7,21,0.55,12.7,La Liga
Espanyol,4,38,3419,69,1.82,183,115,65.0,8,13,17,6,15.8,6,5,1,0,16.7,a8661628,1,9,2,54.5,0.27,-12.5,-0.33,305,659,46.3,889,122,48.6,39.0,323,70.3,50.6,557,27,4.8,46,1.21,14.8,La Liga
Getafe,1,38,3420,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0,7848bd64,0,7,2,45.5,0.23,2.5,0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15.0,La Liga
Girona,2,38,3420,55,1.45,168,112,70.8,13,10,15,4,10.5,8,6,1,1,14.3,9024a00a,2,5,0,62.0,0.33,7.0,0.18,169,464,36.4,1100,192,27.7,31.4,304,52.3,44.3,597,43,7.2,59,1.55,15.6,La Liga
Mallorca,3,38,3420,43,1.13,145,101,74.5,14,8,16,13,34.2,7,6,1,0,14.3,2aa12281,0,3,0,41.5,0.24,-1.5,-0.04,351,841,41.7,952,130,61.8,45.3,336,75.3,54.2,657,35,5.3,21,0.55,11.8,La Liga
Osasuna,2,38,3420,42,1.11,148,107,72.3,15,8,15,11,28.9,4,1,1,2,50.0,03c57e2b,1,3,2,39.1,0.26,-0.9,-0.02,342,789,43.3,1090,145,53.1,41.8,309,68.0,51.6,534,30,5.6,57,1.5,17.0,La Liga
Rayo Vallecano,2,38,3420,53,1.39,144,95,66.0,13,10,15,9,23.7,5,4,0,1,0.0,98e8af82,0,11,4,45.9,0.3,-3.1,-0.08,154,545,28.3,837,204,44.6,38.4,307,56.0,46.4,512,24,4.7,54,1.42,16.1,La Liga
Real Madrid,2,38,3420,36,0.95,136,100,76.5,24,6,8,13,34.2,5,4,1,0,20.0,53a2f082,0,2,1,34.2,0.22,-0.8,-0.02,97,241,40.2,1172,230,16.7,27.0,189,23.8,30.7,420,33,7.9,51,1.34,16.4,La Liga
Real Sociedad,1,38,3420,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,e31d1cd9,1,3,2,32.8,0.24,-0.2,0.0,244,572,42.7,1090,138,39.8,35.9,216,63.9,51.3,453,18,4.0,47,1.24,15.9,La Liga
Sevilla,2,38,3420,54,1.42,161,109,67.7,13,10,15,9,23.7,3,2,1,0,33.3,ad2be733,1,5,3,49.5,0.3,-1.5,-0.04,218,629,34.7,1157,136,37.6,35.1,293,66.2,51.1,524,32,6.1,49,1.29,15.5,La Liga
Valencia,1,38,3420,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,dcc91a7b,0,7,2,42.9,0.28,-0.1,0.0,177,522,33.9,843,142,40.8,35.1,239,74.5,54.2,457,35,7.7,47,1.24,16.3,La Liga
Valladolid,3,38,3420,63,1.66,199,134,71.4,11,7,20,9,23.7,10,6,3,1,33.3,17859612,1,0,1,62.6,0.28,0.6,0.02,192,553,34.7,989,170,37.3,35.8,332,55.4,44.5,563,20,3.6,33,0.87,14.4,La Liga
Villarreal,3,38,3420,40,1.05,149,110,75.8,19,7,12,12,31.6,4,4,0,0,0.0,2a8183b3,0,4,1,43.7,0.27,4.7,0.12,114,330,34.5,1231,191,20.6,28.6,221,34.4,35.7,548,37,6.8,45,1.18,14.9,La Liga
Atalanta,3,38,3420,48,1.26,153,107,70.6,19,7,12,9,23.7,3,3,0,0,0.0,922493f3,1,5,2,41.3,0.25,-4.7,-0.12,161,425,37.9,896,237,27.8,30.8,274,64.2,49.1,454,32,7.0,42,1.11,15.3,Serie A
Bologna,2,38,3420,49,1.29,165,117,74.5,14,12,12,8,21.1,9,7,2,0,22.2,1d8099f8,1,6,3,48.3,0.25,2.3,0.06,151,380,39.7,946,211,29.9,31.8,287,33.8,33.1,502,29,5.8,24,0.63,12.9,Serie A
Cremonese,3,38,3420,69,1.82,225,157,71.6,5,12,21,6,15.8,5,5,0,0,0.0,9aad3a77,3,11,1,68.1,0.29,0.1,0.0,214,704,30.4,1081,181,48.8,40.1,282,62.8,51.5,527,35,6.6,39,1.03,14.0,Serie A
Empoli,3,38,3420,49,1.29,159,110,71.7,10,13,15,9,23.7,6,4,1,1,20.0,a3d88bd8,0,10,1,48.6,0.28,0.6,0.01,163,530,30.8,1261,191,33.2,33.6,246,45.1,40.2,741,39,5.3,26,0.68,11.5,Serie A
Fiorentina,4,38,3420,43,1.13,120,78,70.0,15,11,12,10,26.3,8,7,1,0,12.5,421387cf,0,4,2,39.2,0.26,-1.8,-0.05,198,499,39.7,1183,166,32.6,33.3,245,46.1,40.6,336,14,4.2,60,1.58,17.7,Serie A
Hellas Verona,2,38,3420,59,1.55,185,128,68.6,7,10,21,6,15.8,2,1,1,0,50.0,0e72edf2,1,4,3,50.3,0.27,-5.7,-0.15,366,805,45.5,926,124,63.3,44.6,297,73.7,52.9,515,27,5.2,56,1.47,15.2,Serie A
Inter,3,38,3420,42,1.11,137,98,71.5,23,3,12,13,34.2,3,3,0,0,0.0,d609edc0,0,6,3,34.8,0.23,-4.2,-0.11,151,364,41.5,1398,189,21.9,27.8,228,25.4,32.7,439,17,3.9,20,0.53,13.5,Serie A
Juventus,2,38,3420,33,0.87,133,99,78.2,22,6,10,20,52.6,5,4,1,0,20.0,e0652b02,0,6,0,37.1,0.24,4.1,0.11,160,377,42.4,921,182,31.1,32.7,216,42.1,37.6,543,15,2.8,32,0.84,15.0,Serie A
Lazio,2,38,3418,30,0.79,128,99,77.3,22,8,8,21,55.3,2,1,0,1,0.0,7213da33,0,5,1,31.4,0.25,2.4,0.06,160,376,42.6,1125,167,27.6,32.3,198,33.3,33.2,493,21,4.3,55,1.45,16.6,Serie A
Lecce,1,38,3420,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7,ffcbe334,2,6,3,43.2,0.24,0.2,0.01,194,721,26.9,876,143,56.8,42.1,282,79.1,53.5,534,23,4.3,42,1.11,14.1,Serie A
Milan,3,38,3420,43,1.13,123,80,68.3,20,10,8,12,31.6,5,4,1,0,20.0,dc56fe14,3,6,1,37.2,0.26,-4.8,-0.13,170,388,43.8,1201,194,26.4,31.0,169,42.0,38.3,416,24,5.8,45,1.18,16.5,Serie A
Monza,2,38,3420,52,1.37,172,121,71.5,14,10,14,10,26.3,3,3,0,0,0.0,21680aa4,1,4,1,50.3,0.28,-0.7,-0.02,168,480,35.0,1290,240,30.0,32.1,253,36.8,34.8,548,14,2.6,34,0.89,13.7,Serie A
Napoli,2,38,3420,28,0.74,107,78,74.8,28,6,4,18,47.4,2,1,1,0,50.0,d48ad4ff,0,2,0,28.0,0.24,0.0,0.0,71,181,39.2,861,145,15.2,26.6,229,21.8,27.6,391,13,3.3,43,1.13,17.1,Serie A
Roma,2,38,3420,38,1.0,118,80,69.5,18,9,11,14,36.8,3,2,1,0,33.3,cf74a709,1,4,1,30.5,0.24,-6.5,-0.17,151,372,40.6,705,134,38.7,34.3,256,38.7,36.4,444,22,5.0,29,0.76,13.5,Serie A
Salernitana,3,38,3420,62,1.63,196,130,71.9,9,15,14,7,18.4,11,7,4,0,36.4,c5577084,1,6,0,67.1,0.29,5.1,0.13,218,719,30.3,1065,132,47.7,38.5,359,58.8,44.8,540,28,5.2,23,0.61,13.3,Serie A
Sampdoria,3,38,3420,71,1.87,215,144,70.7,3,10,25,4,10.5,11,8,2,1,20.0,8ff9e3b3,0,10,2,58.2,0.23,-10.8,-0.28,243,664,36.6,1039,164,44.7,38.0,342,58.5,43.8,571,34,6.0,26,0.68,13.1,Serie A
Sassuolo,3,38,3420,61,1.61,130,71,56.2,12,9,17,9,23.7,4,4,0,0,0.0,e2befd26,0,5,2,44.6,0.32,-14.4,-0.38,185,466,39.7,1243,199,29.9,33.0,309,30.4,31.9,509,30,5.9,28,0.74,13.9,Serie A
Spezia,4,38,3420,62,1.63,183,123,68.9,6,13,19,6,15.8,7,5,1,1,16.7,68449f6d,1,8,3,52.1,0.25,-6.9,-0.18,185,585,31.6,1118,177,39.3,34.9,240,60.8,47.4,566,18,3.2,41,1.08,14.4,Serie A
Torino,1,38,3420,41,1.08,136,95,73.5,14,11,13,11,28.9,6,5,0,1,0.0,105360fe,0,6,0,35.8,0.23,-5.2,-0.14,285,939,30.4,1506,185,45.0,30.2,286,91.3,70.0,469,36,7.7,70,1.84,16.2,Serie A
Udinese,1,38,3420,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1,0.0,04eea015,2,3,2,48.7,0.31,2.7,0.07,144,380,37.9,872,142,31.9,32.0,302,33.8,34.1,547,13,2.4,21,0.55,12.2,Serie A
Ajaccio,3,38,3420,74,1.95,161,89,59.6,7,5,26,6,15.8,10,9,0,1,0.0,7a54bb4f,1,11,2,57.6,0.31,-14.4,-0.38,238,633,37.6,785,90,53.2,39.0,260,82.7,51.8,507,26,5.1,60,1.58,15.9,Ligue 1
Angers,2,38,3420,81,2.13,197,119,63.5,4,6,28,4,10.5,11,9,1,1,10.0,69236f98,1,9,4,67.8,0.3,-9.2,-0.24,127,416,30.5,735,194,38.0,34.3,254,53.9,42.3,500,38,7.6,27,0.71,11.6,Ligue 1
Auxerre,3,38,3420,63,1.66,181,117,67.4,8,11,19,7,18.4,6,4,2,0,33.3,5ae09109,0,3,1,57.8,0.3,-4.2,-0.11,268,698,38.4,978,145,48.4,39.5,289,77.9,53.5,599,17,2.8,26,0.68,13.0,Ligue 1
Brest,2,38,3420,54,1.42,179,125,73.7,11,11,16,9,23.7,9,7,2,0,22.2,fb08dbb3,1,11,2,55.1,0.26,3.1,0.08,206,490,42.0,824,166,38.7,35.7,300,57.0,43.3,531,32,6.0,25,0.66,11.4,Ligue 1
Clermont Foot,2,38,3420,49,1.29,164,111,75.0,17,8,13,10,26.3,12,8,4,0,33.3,d9676424,0,5,0,56.5,0.29,7.5,0.2,238,618,38.5,1239,177,40.0,36.9,265,46.0,40.1,478,35,7.3,30,0.79,12.1,Ligue 1
Lens,2,38,3420,29,0.76,129,101,79.8,25,9,4,15,39.5,3,3,0,0,0.0,fd4e0f7d,0,6,1,34.0,0.24,6.0,0.16,183,449,40.8,1104,145,35.8,33.4,170,31.8,32.0,404,35,8.7,41,1.08,15.1,Ligue 1
Lille,2,38,3420,44,1.16,120,80,66.7,19,10,9,10,26.3,5,4,1,0,20.0,cb188c0c,2,3,3,39.2,0.29,-1.8,-0.05,82,316,25.9,1041,148,25.6,29.0,120,40.8,35.9,382,27,7.1,34,0.89,13.9,Ligue 1
Lorient,2,38,3420,53,1.39,182,130,72.0,15,10,13,8,21.1,2,2,0,0,0.0,d2c87802,2,6,1,52.4,0.28,0.4,0.01,142,404,35.1,944,186,30.0,30.8,257,47.1,37.0,725,33,4.6,16,0.42,9.6,Ligue 1
Lyon,2,38,3417,47,1.24,155,111,76.8,18,8,12,8,21.1,11,11,0,0,0.0,d53c0b06,2,5,3,50.2,0.26,6.2,0.16,126,366,34.4,1016,164,29.7,31.3,230,27.8,30.6,436,25,5.7,35,0.92,14.7,Ligue 1
Marseille,2,38,3420,40,1.05,142,105,75.4,22,7,9,10,26.3,5,5,0,0,0.0,5725cc7b,0,7,3,37.7,0.24,0.7,0.02,123,371,33.2,1106,163,24.4,30.5,213,47.4,38.8,443,25,5.6,44,1.16,15.7,Ligue 1
Monaco,1,38,3420,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0,fd6114db,1,4,3,49.5,0.24,-5.5,-0.14,189,445,42.5,875,203,32.2,32.8,266,61.3,45.6,454,36,7.9,33,0.87,12.7,Ligue 1
Montpellier,4,38,3420,62,1.63,202,138,72.3,15,5,18,11,28.9,11,6,4,1,40.0,281b0e73,0,6,2,64.7,0.28,4.7,0.12,201,583,34.5,938,172,42.5,35.9,299,61.5,45.4,572,34,5.9,27,0.71,11.2,Ligue 1
Nantes,2,38,3419,55,1.45,185,134,75.1,7,15,16,11,28.9,9,9,0,0,0.0,d7a486cd,1,6,4,56.3,0.26,5.3,0.14,194,525,37.0,962,211,36.9,35.4,253,67.2,49.2,504,43,8.5,39,1.03,12.2,Ligue 1
Nice,2,38,3420,37,0.97,147,109,76.9,15,13,10,11,28.9,5,3,1,1,25.0,132ebc33,2,5,0,39.0,0.24,2.0,0.05,178,408,43.6,958,130,30.2,32.5,296,40.2,36.2,481,26,5.4,26,0.68,13.0,Ligue 1
Paris S-G,2,38,3420,40,1.05,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3,e2d8892c,1,3,1,43.3,0.26,4.3,0.11,54,148,36.5,731,167,14.9,23.8,208,18.8,24.0,437,33,7.6,27,0.71,12.1,Ligue 1
Reims,2,38,3420,45,1.18,166,123,74.7,12,15,11,14,36.8,3,3,0,0,0.0,7fdd64e0,2,4,2,48.8,0.28,5.8,0.15,165,402,41.0,1026,216,30.7,32.4,244,35.7,35.3,533,48,9.0,39,1.03,12.6,Ligue 1
Rennes,2,38,3420,39,1.03,126,86,71.4,21,5,12,13,34.2,5,3,2,0,40.0,b3072e00,0,7,1,38.9,0.28,0.9,0.02,186,487,38.2,1131,180,31.4,31.7,227,58.1,43.0,457,40,8.8,56,1.47,16.4,Ligue 1
Strasbourg,1,38,3420,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0,c0d3eab4,1,6,0,56.5,0.27,-2.5,-0.06,159,455,34.9,775,130,44.8,36.9,196,55.1,43.9,504,31,6.2,32,0.84,12.8,Ligue 1
Toulouse,1,38,3420,57,1.5,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9,3f8c4b5f,2,8,3,54.2,0.28,0.2,0.01,136,363,37.5,1006,176,24.4,29.5,264,44.7,37.2,517,30,5.8,21,0.55,10.1,Ligue 1
Troyes,2,38,3418,81,2.13,228,148,67.5,4,12,22,1,2.6,8,7,1,0,12.5,54195385,0,10,2,71.3,0.29,-7.7,-0.2,146,518,28.2,942,185,36.1,33.7,319,55.8,42.7,650,45,6.9,22,0.58,10.1,Ligue 1
Augsburg,2,34,3060,63,1.85,201,138,69.2,9,7,18,6,17.6,4,1,2,1,66.7,0cdc4311,2,4,2,63.4,0.31,2.4,0.07,262,677,38.7,1330,175,34.7,34.1,330,65.2,49.9,539,31,5.8,67,1.97,16.7,Bundesliga
Bayern Munich,3,34,3060,38,1.12,107,68,72.9,21,8,5,11,32.4,10,9,1,0,10.0,054efa67,1,2,0,40.8,0.3,2.8,0.08,96,223,43.0,1198,185,15.9,25.8,185,17.8,26.3,349,18,5.2,54,1.59,17.7,Bundesliga
Bochum,1,34,3060,72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3,b42c6323,2,9,3,69.0,0.3,0.0,0.0,554,1175,47.1,1489,83,66.8,35.1,261,69.0,50.6,536,31,5.8,121,3.56,22.2,Bundesliga
Dortmund,2,34,3060,44,1.29,151,108,71.5,22,5,7,12,35.3,1,1,0,0,0.0,add600ae,0,7,1,41.7,0.28,-1.3,-0.04,124,312,39.7,1133,157,19.8,28.5,236,37.3,36.2,386,23,6.0,55,1.62,17.8,Bundesliga
Eint Frankfurt,2,34,3060,52,1.53,135,84,63.0,13,11,10,6,17.6,2,2,0,0,0.0,f0ac8ee6,1,8,1,43.3,0.31,-7.7,-0.23,81,329,24.6,685,135,38.2,34.6,223,30.0,33.8,416,18,4.3,25,0.74,14.3,Bundesliga
Freiburg,1,34,3060,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,a486e511,0,4,0,46.4,0.28,2.4,0.07,271,665,40.8,1231,121,40.2,37.6,231,73.6,58.0,434,32,7.4,43,1.26,15.0,Bundesliga
Hertha BSC,2,34,3060,69,2.03,170,100,62.4,7,8,19,3,8.8,6,5,1,0,16.7,2818f8bc,4,8,0,60.4,0.33,-8.6,-0.25,209,599,34.9,999,172,42.1,35.8,248,71.8,53.7,504,33,6.5,70,2.06,18.6,Bundesliga
Hoffenheim,1,34,3060,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,033ea6b8,1,11,1,50.4,0.31,-5.6,-0.16,206,525,39.2,1164,168,35.3,33.6,249,45.8,39.3,529,43,8.1,43,1.26,13.4,Bundesliga
Köln,1,34,3060,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0,bc357bf7,4,4,3,42.3,0.3,-8.7,-0.26,154,404,38.1,1203,117,28.8,31.3,185,31.4,33.9,468,19,4.1,22,0.65,13.4,Bundesliga
Leverkusen,2,34,3059,49,1.44,146,99,71.2,14,8,12,9,26.5,7,7,0,0,0.0,c7a9f859,1,5,2,42.7,0.25,-4.3,-0.13,121,384,31.5,940,155,31.0,32.0,206,45.1,38.5,410,28,6.8,27,0.79,14.0,Bundesliga
